"","reth","sex","year","x","nx","mx","px","qx","lx","dx","Lx","Tx","ex","edx","ex_q025","ex_q975","edx_q025","edx_q975"
"1379","nhw","male",2013,65,1,0.0153606413179802,0.984756731589999,0.0152432684100009,0.806488746442869,0.0122935244316738,0.800326247920636,14.5210004651766,18.0052115162468,7.71530543726733,17.9865152669539,18.0232271618574,7.70238572016172,7.72910547679731
"1380","nhw","male",2013,66,1,0.0160333376196557,0.984094512139868,0.0159054878601317,0.794195222011195,0.0126320624622737,0.787862313008846,13.720674217256,17.2761983917634,7.56166797122448,17.2562929204572,17.2937192865415,7.54893403640965,7.57566186598782
"1381","nhw","male",2013,67,1,0.0185136674798878,0.981656657727478,0.0183433422725219,0.781563159548922,0.0143364805431996,0.774372801000879,12.9328119042471,16.5473663212469,7.41054617447496,16.528630591719,16.565200198589,7.3978794855358,7.42553796579733
"1382","nhw","male",2013,68,1,0.01953579037841,0.980653796590105,0.0193462034098952,0.767226679005722,0.0148429233935431,0.759781053442649,12.1584391032463,15.8472579694476,7.24635571704416,15.8286061818397,15.864622054705,7.23407041601527,7.26129892373585
"1383","nhw","male",2013,69,1,0.0216983084529675,0.978535406384201,0.0214645936157987,0.752383755612179,0.0161496115573437,0.74427974845823,11.3986580498036,15.1500586831903,7.08355542459216,15.1303530643917,15.167939633071,7.07098836001544,7.097926964818
"1384","nhw","male",2013,70,1,0.0229269610589024,0.977333864597024,0.0226661354029756,0.736234144054835,0.0166875827974408,0.727858469972018,10.6543783013454,14.4714536637299,6.91405596368351,14.4527776280487,14.488654892671,6.90055674790295,6.9287144456704
"1385","nhw","male",2013,71,1,0.025724830858598,0.974603233449558,0.025396766550442,0.719546561257394,0.0182741560384273,0.710370308705821,9.92651983137336,13.7955211877143,6.7466243244263,13.776549340826,13.8124429933996,6.73329163717797,6.76109834315625
"1386","nhw","male",2013,72,1,0.027905820557576,0.972479950108016,0.0275200498919835,0.701272405218967,0.0192990515794973,0.691578000355839,9.21614952266754,13.1420393189289,6.57145455381352,13.1231531518704,13.1588094007962,6.55765685102517,6.58592754534326
"1387","nhw","male",2013,73,1,0.0301439274732572,0.970305869825895,0.0296941301741047,0.68197335363947,0.0202506055382412,0.671797182241993,8.5245715223117,12.4998601145028,6.39460111980321,12.4811777296249,12.5167397726845,6.38057896172614,6.40877040980169
"1388","nhw","male",2013,74,1,0.0329606304003894,0.967576651944566,0.0324233480554337,0.661722748101229,0.0214552669778841,0.650936184085564,7.85277434006971,11.8671669707634,6.21744387032594,11.8477369826033,11.8843205355369,6.20361096150576,6.23124447253399
"1389","nhw","male",2013,75,1,0.0359996480816451,0.964640632957808,0.035359367042192,0.640267481123345,0.0226394528702201,0.628879838460508,7.20183815598414,11.248171066487,6.03849372892918,11.2305446132269,11.2651494156269,6.02445292457236,6.05329812058249
"1390","nhw","male",2013,76,1,0.0395930297762575,0.961180531421401,0.0388194685785993,0.617628028253124,0.0239759918360345,0.605560927555285,6.57295831752363,10.6422604170253,5.85863547011463,10.6249990281095,10.6596864709281,5.84476552783218,5.87390959328464
"1391","nhw","male",2013,77,1,0.0444747001814728,0.956499799058842,0.0435002009411577,0.59365203641709,0.0258239828732708,0.580644338644211,5.96739738996835,10.0520119933957,5.67735712795616,10.0347354475438,10.0684884870702,5.66289447944383,5.69287848641062
"1392","nhw","male",2013,78,1,0.0484461210968007,0.952708668821178,0.047291331178822,0.567828053543819,0.0268533445327667,0.554292973819529,5.38675305132414,9.48659196689099,5.49126150777367,9.47092156733029,9.50291677471331,5.4763481291018,5.50634895621089
"1393","nhw","male",2013,79,1,0.0535917627799525,0.947818962510278,0.0521810374897216,0.540974709011052,0.028228621571897,0.526734335793423,4.83246007750461,8.93287615300678,5.3066809295767,8.9166798829116,8.95023016282364,5.29129404488785,5.32165088350822
"1394","nhw","male",2013,80,1,0.0596242518818115,0.942118466326136,0.0578815336738637,0.512746087439156,0.0296785299262513,0.497759367867302,4.30572574171119,8.39738390441082,5.12178553786076,8.38159032059054,8.41257663250821,5.10628409882533,5.13759344581638
"1395","nhw","male",2013,81,1,0.0667293029827542,0.935448390155504,0.064551609844496,0.483067557512904,0.0311827885011067,0.467302775651136,3.80796637384389,7.88288576746776,4.93634528508927,7.86718409451252,7.89876403731208,4.92026184204441,4.95258409581378
"1396","nhw","male",2013,82,1,0.0748757694116685,0.92785874760702,0.0721412523929797,0.451884769011798,0.0325995331738234,0.435381611834805,3.34066359819275,7.39273334106451,4.7499278735592,7.37641475916504,7.40949351647408,4.73321921309925,4.76671714227904
"1397","nhw","male",2013,83,1,0.0801987554564874,0.922932890207881,0.0770671097921191,0.419285235837974,0.0323131013045397,0.402912752456258,2.90528198635794,6.92913019117287,4.56247171088124,6.91292334122023,6.94565925901572,4.54518845443399,4.58025867859562
"1398","nhw","male",2013,84,1,0.0920174996000443,0.912089188209434,0.087910811790566,0.386972134533434,0.0340190344871624,0.369701791887703,2.50236923390169,6.46653598693547,4.38416391459019,6.45089476900269,6.48235550844351,4.36558202553229,4.40240531133325
"1399","nhw","male",2013,85,1,0.101209650245973,0.903743542967174,0.0962564570328258,0.352953100046272,0.0339740149092067,0.335679599985163,2.13266744201398,6.04235362073429,4.20389874603506,6.02650593382121,6.05917357518433,4.18468157915447,4.22273459890457
"1400","nhw","male",2013,86,1,0.113861348643101,0.892381677235564,0.107618322764436,0.318979085137065,0.0343279941393853,0.301489439115872,1.79698784202882,5.63356008515936,4.02985750924715,5.61678861824835,5.64994573508079,4.00895688707978,4.04934485513054
"1401","nhw","male",2013,87,1,0.128089501315807,0.879774634633415,0.120225365366585,0.28465109099768,0.0342222814171932,0.267174757225556,1.49549840291295,5.25379473400696,3.85935543569888,5.23721503390153,5.27134778444408,3.83661961853746,3.88044585918037
"1402","nhw","male",2013,88,1,0.141043516175971,0.86845151918625,0.13154848081375,0.250428809580487,0.032943529452309,0.233569967237682,1.22832364568739,4.90488154196418,3.69263902862215,4.88827937768841,4.92172339221321,3.66830187742955,3.71581373184515
"1403","nhw","male",2013,89,1,0.157205161259232,0.854528724643213,0.145471275356787,0.217485280128178,0.0316378610715742,0.201252050620675,0.994753678449711,4.57388968054959,3.53408334681321,4.55602315710899,4.59257475186563,3.50834199232066,3.55910310039618
"1404","nhw","male",2013,90,1,0.174746534319583,0.839669821281832,0.160330178718168,0.185847419056604,0.0297969499116556,0.170515255296347,0.793501627829036,4.26964028802229,3.3829682629196,4.2503033456906,4.28890912194747,3.35403667862123,3.40993497672626
"1405","nhw","male",2013,91,1,0.192668295136145,0.824755504183206,0.175244495816794,0.156050469144948,0.0273469857872806,0.141938172899472,0.622986372532689,3.99221082734474,3.24015006973982,3.97203603573524,4.01400629152917,3.20889765943196,3.26917068410141
"1406","nhw","male",2013,92,1,0.212236258567397,0.808773595301641,0.191226404698359,0.128703483357668,0.0246115043946419,0.115962769796125,0.481048199633217,3.73764708680325,3.10739671368155,3.71673769719134,3.76002120769416,3.07309256657585,3.13878755746575
"1407","nhw","male",2013,93,1,0.235926822541599,0.789838470189881,0.210161529810119,0.104091978963026,0.0218761295398322,0.0927242155180339,0.365085429837092,3.50733489241062,2.98560783847825,3.48444068755028,3.53192217135565,2.94739934046375,3.02088301243027
"1408","nhw","male",2013,94,1,0.251961810096783,0.77727442153707,0.22272557846293,0.0822158494231935,0.0183115726216019,0.0726759845651535,0.272361214319058,3.31275801721783,2.87267250766533,3.28652424389041,3.34101216952679,2.83081646535823,2.91142190250428
"1409","nhw","male",2013,95,1,0.275198746590843,0.759421175855612,0.240578824144388,0.0639042768015915,0.0153740157707244,0.0558651373277581,0.199685229753905,3.12475533326013,2.77350316118501,3.09507998132635,3.1568829684336,2.72576864054882,2.81693274373602
"1410","nhw","male",2013,96,1,0.297209181011998,0.742888597918917,0.257111402081083,0.0485302610308672,0.0124776834570072,0.0419828331497724,0.143820092426146,2.96351367932415,2.68776921952987,2.92664622630452,2.99937213558037,2.63059511559025,2.73725106604293
"1411","nhw","male",2013,97,1,0.320691434468524,0.725647126139429,0.274352873860571,0.03605257757386,0.00989112826746967,0.0308431320713696,0.101837259276374,2.82468733526036,2.61635861121202,2.78052082756688,2.86439454424193,2.55071072178032,2.67226257295885
